run,environment,distance,experiment,rx_label,tx_label,mean,trim_mean,median,std,dis1,dis2,dis21,conteo,cv,q1,q3,q3q1_ran,max,min,range,skew,kur
1,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_B.csv,B,A,-89.27042253521127,-89.17894736842105,-89.0,3.3081133940267713,2.741233882166232,2.7267605633802816,8.369875103842062,18.0,-0.0370049866432215,-92.0,-87.0,5.0,-81.0,-100.0,19.0,-0.19832448395168692,-0.3567188548965614
2,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_B.csv,B,A,-85.54828660436137,-85.23735408560312,-85.0,5.453067244001421,4.633398355994218,4.604361370716511,10.90014992054397,24.0,-0.0636432003539516,-89.0,-81.0,8.0,-76.0,-99.0,23.0,-0.34846935963523484,-0.8367214964387442
3,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_B.csv,B,A,-90.06827309236948,-89.91542288557214,-90.0,3.5987449410768653,2.971629489846942,2.959839357429719,7.317164316646848,18.0,-0.03987543173950567,-93.0,-87.0,6.0,-82.0,-99.0,17.0,-0.33766393650487836,-0.5821147285749189
4,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_B.csv,B,A,-89.41176470588235,-88.89756097560975,-89.0,4.017562187281074,2.969780853517874,2.929411764705882,10.16273799223531,19.0,-0.044845070324506936,-91.0,-85.0,6.0,-84.0,-102.0,18.0,-0.9279780368442716,0.46001520950015173
5,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_B.csv,B,A,-88.33798882681565,-88.06597222222223,-88.0,1.9547423852241748,1.415327236977625,1.3435754189944134,5.043894599593755,10.0,-0.022097066221057702,-89.0,-87.0,2.0,-85.0,-94.0,9.0,-1.0530574494142835,1.120749128453805
6,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_B.csv,B,A,-87.16890080428955,-87.0066889632107,-87.0,1.8097401118370067,1.3222692609017512,1.2466487935656836,6.03707851533762,12.0,-0.02073345587635087,-88.0,-86.0,2.0,-83.0,-95.0,12.0,-1.0444610275106145,1.4371958369350857
1,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_B.csv,B,C,-93.29528535980148,-93.21052631578948,-93.0,2.9064437940238874,2.35576846110745,2.305210918114144,5.7147167930343805,14.0,-0.031114493443054666,-96.0,-91.0,5.0,-87.0,-100.0,13.0,-0.24269330138252448,-0.6515303989678332
2,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_B.csv,B,C,-91.48812664907652,-91.4983606557377,-91.0,3.539907245489479,2.9853314861355758,2.978891820580475,6.680416587609236,17.0,-0.03864145248195715,-94.0,-89.0,5.0,-83.0,-99.0,16.0,0.013102337650586647,-0.8067367121296884
3,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_B.csv,B,C,-92.61307901907357,-92.6135593220339,-93.0,3.0285784599832253,2.4526576038132286,2.430517711171662,6.395064625593077,16.0,-0.03265682934608047,-95.0,-90.0,5.0,-85.0,-100.0,15.0,-0.007879854425555805,-0.5253304997927373
1,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_C.csv,C,B,-92.48314606741573,-92.37209302325581,-92.0,3.1745428640793865,2.6378824222530852,2.6179775280898876,8.432373070051531,16.0,-0.03426129608707951,-95.0,-90.0,5.0,-86.0,-103.0,17.0,-0.33758278438566475,-0.4203514844280023
2,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_C.csv,C,B,-90.36236933797909,-90.1038961038961,-90.0,4.161223591588944,3.3568211341645515,3.3101045296167246,8.82039624359216,20.0,-0.04597010655688562,-93.0,-87.5,5.5,-82.0,-101.0,19.0,-0.5246341865133161,-0.3431957848717375
3,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_C.csv,C,B,-91.16194331983806,-91.03517587939699,-91.0,3.225610339426475,2.49104230523366,2.4615384615384617,7.213603756250917,17.0,-0.0353116007000001,-93.0,-89.0,4.0,-83.0,-100.0,17.0,-0.35117803741898507,-0.011608857799903394
1,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_C.csv,C,D,-95.26976744186047,-95.26589595375722,-95.0,2.66892246832419,2.18050838290968,2.1767441860465118,5.469485528008659,14.0,-0.027949143882112067,-97.0,-93.0,4.0,-89.0,-102.0,13.0,0.0009568439852439299,-0.5027553876507223
2,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_C.csv,C,D,-94.19823788546256,-94.20218579234972,-94.0,3.0958717124542225,2.5162141706611836,2.5066079295154187,6.222516530172439,15.0,-0.03279302410000133,-96.0,-92.0,4.0,-86.0,-101.0,15.0,0.10356498035533294,-0.5694514705676146
