,distance,experiment,rx_label,tx_label,run,mean,trim_mean,median,std,dis1,dis2,conteo,cv,q1,q3,q3q1_ran,max,min,range,skew,kur,len
3703,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_C.csv,C,D,4,-76.85714285714286,-76.49579831932773,-76.0,2.6903708365381993,1.7862001943634596,1.6870748299319729,14.0,-0.03500482501072006,-78.0,-75.0,3.0,-73.0,-92.0,19.0,-2.472416996137499,9.300324354118361,150
3704,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_D.csv,D,C,1,-72.11333333333333,-71.725,-70.0,6.820104267694318,6.225066666666669,5.633333333333334,14.0,-0.09457480263974741,-80.0,-65.0,15.0,-64.0,-85.0,21.0,-0.3988826091797566,-1.4989855359495297,150
3705,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_D.csv,D,C,2,-72.93333333333334,-72.325,-70.0,7.670433857061514,6.778666666666672,5.8933333333333335,17.0,-0.10517048250084343,-81.75,-65.0,16.75,-64.0,-90.0,26.0,-0.5986797933379433,-1.147909239383088,150
3706,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_D.csv,D,C,3,-71.92,-71.5,-70.0,6.099748628700477,5.506666666666662,4.933333333333334,12.0,-0.0848129675848231,-80.0,-66.0,14.0,-65.0,-82.0,17.0,-0.5145127254246378,-1.4460419311317803,150
3707,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_D.csv,D,C,4,-74.93333333333334,-74.775,-75.0,2.2588099128129855,1.8435555555555554,1.84,13.0,-0.030144260402308522,-76.0,-73.0,3.0,-71.0,-83.0,12.0,-0.7318100275310789,0.7652560429287654,150
3708,4.0,X-d4.0m0dbm_in_R-10_bluetooth_le_null_C.csv,C,D,10,-80.57333333333334,-80.925,-83.0,5.7796731933754035,5.086933333333327,4.573333333333333,11.0,-0.07173183675379037,-85.0,-72.0,13.0,-71.0,-87.0,16.0,0.6822011656208249,-1.2569636416675154,150
3709,4.0,X-d4.0m0dbm_in_R-10_bluetooth_le_null_D.csv,D,C,10,-77.84,-77.93333333333334,-80.0,5.828756299589135,5.378666666666664,5.1066666666666665,17.0,-0.0748812474253486,-83.0,-71.0,12.0,-70.0,-87.0,17.0,0.30282607098551073,-1.5943535795811175,150
3710,4.0,X-d4.0m0dbm_in_R-5_bluetooth_le_null_C.csv,C,D,5,-78.55333333333333,-78.3,-80.0,5.761408006921766,5.005777777777777,4.6466666666666665,15.0,-0.07334390232014469,-82.0,-72.0,10.0,-71.0,-92.0,21.0,-0.09831552014388309,-1.011079883668628,150
3711,4.0,X-d4.0m0dbm_in_R-5_bluetooth_le_null_D.csv,D,C,5,-77.17333333333333,-77.04166666666667,-78.0,5.641213423447909,4.841244444444442,4.72,14.0,-0.07309796246693041,-83.0,-70.0,13.0,-70.0,-87.0,17.0,0.06138516045012778,-1.415679006164922,150
3712,4.0,X-d4.0m0dbm_in_R-6_bluetooth_le_null_C.csv,C,D,6,-81.06,-80.75,-81.0,7.515521716199525,6.6474666666666735,6.6466666666666665,20.0,-0.09271554054033462,-89.0,-73.0,16.0,-71.0,-94.0,23.0,-0.23183250476738265,-1.4326020035479503,150
3713,4.0,X-d4.0m0dbm_in_R-6_bluetooth_le_null_D.csv,D,C,6,-79.23448275862069,-78.80341880341881,-78.0,7.695958449510973,6.760237812128408,6.751724137931035,24.0,-0.0971289037495945,-87.0,-72.0,15.0,-69.0,-97.0,28.0,-0.34174363470807795,-1.2367721009465344,150
3714,4.0,X-d4.0m0dbm_in_R-7_bluetooth_le_null_C.csv,C,D,7,-78.64625850340136,-78.03361344537815,-78.0,6.961314600503966,5.908649173955288,5.816326530612245,20.0,-0.08851425017507855,-84.5,-71.0,13.5,-71.0,-96.0,25.0,-0.5093048066098246,-0.7217176951796853,150
